S1,S2,count
3,6,12
8,12,11
1,2,11
1,4,10
1,3,10
7,15,10
2,12,9
3,7,9
7,10,9
12,21,8
14,16,8
1,12,8
6,8,8
11,12,8
5,6,8
9,10,7
4,11,7
6,13,7
5,8,7
8,11,7
5,12,7
2,18,7
3,10,7
12,17,7
3,9,7
3,4,7
2,4,7
2,3,7
6,10,7
2,6,7
3,16,7
11,13,7
9,11,7
4,8,7
10,12,7
14,15,7
17,19,7
2,9,7
5,9,6
5,7,6
1,5,6
20,24,6
22,23,6
8,10,6
2,24,6
10,11,6
2,11,6
3,18,6
15,21,6
14,18,6
10,16,6
14,22,6
4,6,6
6,7,6
5,14,6
4,19,6
1,7,6
23,25,5
1,28,5
1,25,5
5,21,5
6,28,5
5,22,5
1,6,5
1,15,5
5,25,5
6,15,5
6,14,5
3,8,5
10,14,5
10,13,5
3,15,5
3,21,5
12,15,5
14,20,5
15,16,5
2,8,5
19,30,5
8,9,5
7,14,5
7,8,5
8,14,5
4,7,5
8,15,5
4,9,5
1,26,4
23,29,4
25,30,4
24,29,4
24,28,4
1,19,4
27,28,4
26,28,4
13,22,4
17,23,4
18,20,4
18,21,4
19,20,4
19,25,4
19,28,4
20,21,4
2,13,4
16,30,4
16,19,4
15,23,4
2,23,4
17,18,4
12,22,4
16,23,4
14,26,4
10,17,4
11,14,4
11,17,4
3,20,4
11,20,4
11,23,4
12,20,4
12,18,4
3,12,4
3,11,4
13,20,4
13,14,4
4,13,4
9,19,4
9,23,4
8,17,4
7,17,4
7,24,4
7,16,4
4,17,4
4,23,4
9,12,4
4,5,4
6,12,4
5,15,4
5,10,4
6,21,4
5,16,4
1,17,4
1,16,4
1,11,4
1,8,4
31,32,3
5,18,3
1,33,3
27,35,3
28,30,3
5,11,3
4,35,3
28,38,3
5,13,3
6,16,3
5,35,3
29,30,3
30,31,3
6,19,3
6,33,3
21,33,3
22,26,3
8,21,3
23,32,3
4,18,3
23,28,3
8,13,3
8,18,3
8,31,3
4,33,3
20,22,3
8,23,3
8,24,3
21,31,3
22,27,3
22,29,3
24,25,3
4,22,3
7,23,3
7,19,3
7,11,3
1,20,3
7,9,3
24,26,3
2,7,3
2,10,3
2,15,3
9,14,3
4,15,3
2,17,3
11,24,3
11,21,3
16,20,3
11,19,3
16,21,3
10,21,3
10,24,3
10,30,3
17,21,3
3,27,3
3,23,3
12,25,3
15,26,3
15,27,3
16,17,3
16,18,3
1,10,3
1,9,3
3,14,3
13,17,3
13,23,3
1,18,3
39,41,3
35,36,3
37,39,3
13,16,3
11,33,3
12,13,3
3,5,3
13,30,3
14,25,3
12,31,3
9,36,3
9,29,3
9,30,3
9,31,3
9,25,3
19,21,3
18,30,3
18,34,3
4,10,3
2,5,3
18,25,3
3,17,3
17,36,3
17,24,3
10,15,3
26,32,2
1,24,2
1,27,2
6,17,2
6,18,2
6,20,2
6,23,2
6,24,2
6,25,2
27,29,2
6,32,2
5,17,2
40,43,2
30,33,2
5,23,2
5,32,2
5,33,2
19,36,2
19,42,2
20,23,2
20,31,2
21,22,2
20,40,2
21,24,2
8,27,2
4,31,2
8,32,2
8,38,2
4,29,2
4,30,2
21,39,2
21,28,2
8,20,2
22,42,2
22,30,2
21,32,2
7,21,2
7,28,2
25,27,2
24,44,2
24,34,2
4,26,2
4,27,2
23,34,2
24,33,2
4,21,2
4,24,2
7,37,2
23,30,2
25,37,2
1,21,2
1,22,2
25,36,2
7,29,2
7,25,2
7,20,2
7,12,2
32,34,2
31,36,2
32,37,2
5,20,2
5,31,2
6,9,2
30,32,2
28,48,2
28,36,2
28,35,2
4,44,2
27,31,2
26,30,2
18,42,2
18,43,2
18,36,2
18,26,2
18,27,2
18,31,2
2,19,2
19,26,2
19,35,2
19,29,2
19,31,2
16,29,2
16,31,2
16,34,2
17,20,2
17,40,2
18,22,2
17,34,2
17,22,2
9,35,2
9,40,2
9,32,2
9,24,2
10,29,2
10,33,2
10,28,2
10,20,2
9,13,2
9,15,2
9,20,2
9,17,2
9,22,2
19,24,2
19,22,2
2,14,2
4,12,2
4,14,2
11,27,2
11,28,2
16,25,2
16,28,2
2,36,2
16,26,2
15,22,2
11,38,2
12,24,2
12,14,2
11,15,2
11,16,2
15,29,2
15,28,2
11,18,2
2,20,2
2,21,2
2,26,2
2,27,2
16,22,2
14,34,2
15,20,2
13,26,2
13,27,2
13,28,2
14,17,2
14,21,2
14,19,2
12,30,2
12,27,2
14,47,2
14,41,2
14,29,2
13,25,2
3,13,2
13,19,2
33,35,2
35,37,2
52,58,1
32,36,1
32,35,1
31,59,1
31,43,1
31,39,1
30,49,1
30,48,1
30,47,1
30,41,1
30,40,1
5,29,1
5,28,1
5,27,1
5,26,1
5,19,1
40,50,1
13,34,1
13,33,1
13,32,1
13,31,1
13,24,1
13,18,1
13,15,1
12,61,1
12,47,1
36,42,1
36,39,1
36,38,1
35,49,1
35,45,1
35,41,1
34,50,1
12,42,1
12,41,1
12,37,1
12,36,1
12,35,1
12,33,1
12,32,1
12,29,1
12,28,1
14,27,1
14,24,1
14,23,1
13,47,1
13,44,1
13,43,1
13,36,1
11,32,1
11,31,1
15,25,1
15,24,1
15,18,1
15,17,1
14,46,1
14,40,1
14,37,1
14,32,1
14,31,1
14,30,1
2,57,1
2,40,1
2,39,1
2,38,1
15,44,1
15,39,1
15,37,1
15,35,1
15,33,1
15,32,1
15,31,1
15,30,1
12,26,1
12,23,1
12,16,1
11,54,1
11,41,1
11,39,1
11,36,1
11,34,1
2,30,1
2,29,1
2,28,1
2,25,1
2,22,1
16,24,1
11,30,1
11,29,1
11,22,1
3,38,1
3,33,1
3,32,1
3,31,1
3,29,1
15,46,1
15,45,1
10,41,1
10,40,1
10,39,1
10,37,1
10,35,1
16,54,1
16,53,1
16,42,1
16,41,1
16,38,1
16,32,1
16,27,1
2,37,1
2,33,1
2,32,1
2,31,1
18,23,1
18,19,1
17,54,1
17,41,1
17,37,1
17,33,1
17,28,1
17,26,1
3,28,1
3,25,1
3,22,1
3,19,1
10,49,1
10,47,1
10,45,1
10,43,1
18,28,1
9,55,1
9,45,1
9,43,1
9,38,1
9,34,1
9,33,1
9,28,1
10,34,1
10,31,1
10,27,1
10,25,1
10,23,1
10,22,1
10,19,1
10,18,1
20,28,1
20,27,1
20,26,1
20,25,1
19,43,1
19,37,1
19,27,1
2,16,1
9,21,1
9,16,1
8,44,1
3,57,1
3,54,1
3,51,1
18,37,1
18,29,1
8,41,1
8,40,1
8,37,1
8,35,1
8,33,1
8,30,1
8,29,1
8,28,1
8,25,1
21,27,1
21,26,1
21,25,1
20,54,1
20,33,1
20,32,1
20,30,1
22,24,1
21,52,1
21,46,1
21,40,1
21,37,1
21,35,1
21,29,1
8,16,1
7,46,1
7,42,1
7,41,1
7,40,1
4,32,1
3,44,1
3,43,1
8,42,1
7,35,1
7,34,1
7,33,1
7,32,1
23,33,1
23,31,1
23,27,1
23,26,1
23,24,1
22,57,1
22,41,1
22,39,1
22,36,1
22,32,1
22,31,1
22,28,1
24,38,1
24,36,1
24,30,1
24,27,1
23,56,1
23,55,1
23,49,1
23,44,1
23,40,1
23,36,1
23,35,1
4,28,1
4,16,1
7,39,1
7,38,1
7,36,1
6,27,1
6,26,1
6,22,1
1,29,1
1,23,1
25,33,1
25,32,1
25,28,1
24,61,1
24,45,1
7,31,1
7,30,1
7,18,1
7,13,1
6,47,1
6,42,1
27,33,1
27,32,1
26,51,1
26,43,1
26,40,1
26,27,1
25,41,1
25,40,1
25,38,1
1,45,1
1,36,1
1,31,1
6,40,1
6,36,1
6,34,1
6,31,1
5,37,1
5,36,1
4,54,1
4,39,1
4,36,1
4,34,1
28,37,1
28,34,1
28,33,1
28,32,1
28,31,1
27,52,1
27,49,1
27,47,1
27,40,1
27,39,1
40,41,1
39,53,1
30,38,1
30,36,1
30,34,1
29,44,1
29,42,1
29,37,1
29,34,1
29,31,1
28,45,1
28,41,1
28,39,1
6,11,1
5,43,1
5,39,1
1,13,1
51,54,1
50,51,1
49,53,1
48,49,1
47,54,1
44,52,1
44,45,1
43,44,1
41,53,1
41,48,1
40,53,1
36,46,1
36,44,1
32,45,1
32,43,1
34,44,1
34,39,1
34,38,1
33,56,1
33,46,1
33,44,1
39,48,1
38,58,1
38,44,1
38,42,1
37,51,1
37,47,1
37,46,1
37,43,1
37,40,1
36,51,1
