choice1,choice2,choice3,count
19,43,7,2
1,42,16,2
57,35,53,2
1,3,35,1
1,7,40,1
1,9,48,1
1,11,38,1
1,27,40,1
1,30,68,1
1,32,33,1
1,36,53,1
1,38,11,1
1,38,41,1
1,44,43,1
69,24,19,1
69,30,49,1
69,31,22,1
69,34,3,1
69,35,33,1
69,35,42,1
69,39,23,1
69,41,38,1
69,43,47,1
69,46,39,1
69,50,64,1
69,55,16,1
69,56,63,1
69,65,48,1
69,66,25,1
68,37,52,1
2,16,32,1
2,18,5,1
2,20,56,1
2,22,56,1
2,26,53,1
2,32,4,1
2,34,47,1
2,34,68,1
2,38,59,1
2,40,10,1
2,41,67,1
2,47,30,1
2,47,64,1
2,48,31,1
2,49,37,1
2,55,53,1
2,60,4,1
2,60,28,1
2,61,23,1
2,61,67,1
2,62,51,1
2,64,38,1
2,64,52,1
2,65,47,1
2,68,27,1
3,8,9,1
3,9,26,1
3,11,44,1
3,13,62,1
3,15,48,1
3,28,1,1
3,28,16,1
3,28,47,1
3,28,60,1
3,33,65,1
3,33,69,1
3,34,30,1
3,35,54,1
3,38,68,1
3,41,64,1
3,45,40,1
3,54,58,1
3,58,57,1
3,65,48,1
3,66,46,1
3,68,56,1
3,69,8,1
4,9,19,1
4,11,29,1
4,13,47,1
4,15,45,1
4,17,61,1
4,17,62,1
4,23,63,1
4,33,7,1
4,35,51,1
4,35,62,1
4,38,8,1
4,39,40,1
4,40,21,1
4,41,3,1
4,43,45,1
4,45,11,1
4,45,50,1
4,56,28,1
4,57,36,1
4,64,11,1
4,64,29,1
4,67,38,1
5,1,39,1
5,6,14,1
5,6,48,1
5,8,27,1
5,11,60,1
5,12,6,1
5,13,64,1
5,23,55,1
5,24,20,1
5,28,15,1
5,34,57,1
5,38,32,1
5,38,43,1
5,38,46,1
5,41,43,1
5,42,65,1
5,46,63,1
5,54,33,1
5,55,59,1
5,56,36,1
5,61,24,1
5,63,66,1
5,68,3,1
5,68,23,1
6,1,67,1
6,3,38,1
6,7,21,1
6,8,35,1
6,15,10,1
6,19,42,1
6,22,15,1
6,23,31,1
6,27,16,1
6,27,38,1
6,27,57,1
6,29,67,1
6,34,3,1
6,36,17,1
6,36,54,1
6,38,33,1
6,38,48,1
6,40,43,1
6,42,68,1
6,44,28,1
6,44,58,1
6,48,10,1
6,49,24,1
6,52,54,1
6,67,26,1
7,4,32,1
7,14,39,1
7,17,26,1
7,28,18,1
7,29,34,1
7,29,35,1
7,29,45,1
7,31,68,1
7,34,3,1
7,35,59,1
7,36,52,1
7,40,25,1
7,42,28,1
7,47,61,1
7,49,17,1
7,50,1,1
7,55,8,1
7,59,32,1
7,62,51,1
7,64,51,1
7,65,5,1
7,65,15,1
7,67,63,1
7,68,28,1
7,69,32,1
8,1,62,1
8,4,69,1
8,5,63,1
8,7,17,1
8,9,16,1
8,11,51,1
8,12,13,1
8,13,20,1
8,14,32,1
8,19,3,1
8,20,56,1
8,21,27,1
8,24,9,1
8,24,68,1
8,27,26,1
8,30,3,1
8,30,18,1
8,36,42,1
8,38,33,1
8,48,20,1
8,50,42,1
8,50,60,1
8,52,47,1
8,54,20,1
8,58,22,1
8,60,1,1
8,62,4,1
8,68,48,1
8,69,20,1
9,6,38,1
9,8,19,1
9,8,33,1
9,16,51,1
9,18,8,1
9,21,3,1
9,22,10,1
9,24,16,1
9,25,38,1
9,27,42,1
9,27,68,1
9,36,45,1
9,39,16,1
9,47,5,1
9,48,28,1
9,49,50,1
9,54,4,1
9,55,5,1
9,56,48,1
9,58,67,1
9,61,17,1
9,61,39,1
9,61,47,1
9,62,25,1
9,62,63,1
9,65,7,1
10,6,47,1
10,7,57,1
10,8,53,1
10,11,44,1
10,12,19,1
10,13,66,1
10,13,67,1
10,15,29,1
10,19,56,1
10,21,59,1
10,30,8,1
10,31,42,1
10,32,7,1
10,33,64,1
10,41,11,1
10,42,15,1
10,49,24,1
10,50,2,1
10,50,35,1
10,51,27,1
10,52,6,1
10,53,52,1
10,61,13,1
10,67,24,1
10,69,8,1
11,2,65,1
11,5,46,1
11,6,42,1
11,7,18,1
11,9,17,1
11,12,48,1
11,14,53,1
11,18,36,1
11,19,7,1
11,25,17,1
11,25,23,1
11,25,52,1
11,27,61,1
11,28,21,1
11,30,36,1
11,31,66,1
11,33,7,1
11,35,42,1
11,40,69,1
11,41,45,1
11,43,27,1
11,45,32,1
11,53,58,1
11,57,49,1
11,60,54,1
11,61,55,1
11,62,22,1
11,63,21,1
11,63,39,1
12,1,43,1
12,2,21,1
12,2,50,1
12,2,61,1
12,4,34,1
12,4,40,1
12,6,64,1
12,7,13,1
12,11,44,1
12,11,50,1
12,13,33,1
12,14,8,1
12,14,20,1
12,14,54,1
12,14,67,1
12,17,27,1
12,17,45,1
12,24,47,1
12,28,66,1
12,30,42,1
12,32,51,1
12,36,47,1
12,37,4,1
12,37,68,1
12,38,3,1
12,42,13,1
12,42,17,1
12,44,55,1
12,54,13,1
12,55,1,1
12,56,5,1
12,59,66,1
12,64,1,1
12,64,32,1
12,66,23,1
12,67,42,1
13,2,4,1
13,6,20,1
13,11,8,1
13,11,56,1
13,12,38,1
13,12,42,1
13,12,53,1
13,16,53,1
13,17,55,1
13,18,11,1
13,18,61,1
13,20,17,1
13,22,38,1
13,23,32,1
13,25,54,1
13,32,19,1
13,32,45,1
13,36,55,1
13,37,35,1
13,40,21,1
13,43,69,1
13,46,4,1
13,46,28,1
13,47,64,1
13,51,69,1
13,54,25,1
13,56,53,1
13,59,28,1
13,59,50,1
13,61,32,1
13,63,24,1
13,64,66,1
13,67,37,1
13,68,37,1
14,5,2,1
14,7,47,1
14,9,41,1
14,18,8,1
14,19,51,1
14,21,27,1
14,33,24,1
14,34,32,1
14,36,16,1
14,40,1,1
14,42,38,1
14,46,29,1
14,46,67,1
14,52,15,1
14,54,20,1
14,59,39,1
14,59,65,1
14,60,20,1
14,61,59,1
14,62,48,1
14,68,25,1
14,69,52,1
15,7,41,1
15,14,40,1
15,16,41,1
15,22,43,1
15,24,22,1
15,25,28,1
15,28,20,1
15,29,33,1
15,33,29,1
15,34,19,1
15,35,53,1
15,35,69,1
15,37,38,1
15,45,34,1
15,48,16,1
15,52,16,1
15,53,22,1
15,55,61,1
15,57,36,1
15,62,12,1
15,69,51,1
16,3,31,1
16,3,60,1
16,10,64,1
16,11,22,1
16,14,41,1
16,14,50,1
16,21,27,1
16,22,21,1
16,26,66,1
16,28,13,1
16,29,6,1
16,32,25,1
16,32,34,1
16,32,46,1
16,41,39,1
16,43,57,1
16,44,24,1
16,46,1,1
16,47,18,1
16,49,47,1
16,50,1,1
16,51,68,1
16,55,61,1
16,57,18,1
16,59,12,1
16,60,38,1
16,64,47,1
17,2,62,1
17,2,63,1
17,8,29,1
17,12,14,1
17,13,10,1
17,13,46,1
17,19,16,1
17,24,65,1
17,27,32,1
17,29,52,1
17,30,33,1
17,33,11,1
17,36,61,1
17,52,33,1
17,53,57,1
17,56,47,1
17,57,40,1
17,59,14,1
17,61,52,1
17,64,16,1
17,67,11,1
17,67,35,1
17,68,14,1
17,68,41,1
18,1,20,1
18,1,32,1
18,5,26,1
18,9,15,1
18,9,51,1
18,14,5,1
18,19,7,1
18,19,55,1
18,21,10,1
18,21,51,1
18,22,6,1
18,22,38,1
18,26,22,1
18,29,19,1
18,30,34,1
18,31,4,1
18,34,4,1
18,34,44,1
18,38,53,1
18,39,35,1
18,40,17,1
18,43,53,1
18,45,24,1
18,50,44,1
18,51,52,1
18,52,56,1
18,55,8,1
18,66,52,1
19,7,68,1
19,9,61,1
19,10,61,1
19,13,68,1
19,16,43,1
19,21,15,1
19,25,47,1
19,28,42,1
19,29,63,1
19,35,24,1
19,37,20,1
19,38,66,1
19,39,44,1
19,42,60,1
19,46,11,1
19,49,46,1
19,49,65,1
19,57,2,1
19,59,25,1
19,61,53,1
19,62,33,1
19,63,1,1
19,67,13,1
20,1,5,1
20,3,62,1
20,4,58,1
20,7,21,1
20,10,31,1
20,12,51,1
20,16,9,1
20,18,27,1
20,21,58,1
20,23,35,1
20,23,66,1
20,26,63,1
20,27,26,1
20,30,45,1
20,31,66,1
20,32,1,1
20,32,44,1
20,35,51,1
20,36,26,1
20,39,35,1
20,40,54,1
20,40,62,1
20,46,24,1
20,52,37,1
20,56,50,1
20,60,64,1
20,65,23,1
20,65,59,1
21,2,23,1
21,6,57,1
21,7,40,1
21,8,3,1
21,15,38,1
21,16,56,1
21,20,69,1
21,24,46,1
21,27,41,1
21,27,50,1
21,28,35,1
21,28,43,1
21,28,63,1
21,29,2,1
21,29,35,1
21,35,32,1
21,36,4,1
21,38,62,1
21,39,29,1
21,40,65,1
21,42,46,1
21,43,64,1
21,45,9,1
21,46,30,1
21,47,64,1
21,49,66,1
21,51,19,1
21,52,5,1
21,53,17,1
21,53,19,1
21,59,16,1
22,1,2,1
22,1,20,1
22,1,44,1
22,1,52,1
22,6,25,1
22,8,65,1
22,19,32,1
22,20,68,1
22,24,48,1
22,31,68,1
22,33,67,1
22,37,24,1
22,43,47,1
22,56,66,1
22,59,1,1
22,60,16,1
22,61,40,1
22,62,33,1
22,63,21,1
22,64,5,1
22,65,3,1
22,67,18,1
22,69,3,1
22,69,11,1
23,1,19,1
23,2,63,1
23,3,19,1
23,3,51,1
23,4,26,1
23,5,17,1
23,7,58,1
23,8,12,1
23,8,32,1
23,12,39,1
23,13,4,1
23,18,6,1
23,18,41,1
23,19,29,1
23,19,66,1
23,20,16,1
23,28,34,1
23,30,56,1
23,31,9,1
23,31,17,1
23,38,37,1
23,43,32,1
23,45,65,1
23,46,35,1
23,46,59,1
23,49,3,1
23,51,59,1
23,62,67,1
23,65,46,1
23,67,51,1
24,2,45,1
24,6,29,1
24,9,61,1
24,10,16,1
24,11,25,1
24,12,35,1
24,15,6,1
24,15,62,1
24,17,28,1
24,20,18,1
24,22,52,1
24,23,26,1
24,23,65,1
24,25,6,1
24,26,40,1
24,31,19,1
24,33,49,1
24,35,12,1
24,38,5,1
24,38,35,1
24,39,37,1
24,40,52,1
24,45,56,1
24,52,28,1
24,55,52,1
24,56,17,1
24,56,27,1
24,56,48,1
24,58,19,1
24,61,21,1
24,61,34,1
24,69,55,1
25,5,13,1
25,5,69,1
25,7,59,1
25,8,7,1
25,10,48,1
25,14,60,1
25,15,3,1
25,15,57,1
25,16,8,1
25,16,63,1
25,18,36,1
25,20,46,1
25,20,48,1
25,22,33,1
25,22,56,1
25,26,4,1
25,28,14,1
25,29,13,1
25,29,63,1
25,31,67,1
25,32,50,1
25,33,44,1
25,41,67,1
25,47,51,1
25,47,62,1
25,47,66,1
25,51,31,1
25,53,47,1
25,57,12,1
25,61,30,1
25,62,21,1
25,64,13,1
25,65,23,1
25,66,57,1
25,67,61,1
25,69,56,1
26,2,38,1
26,2,47,1
26,4,53,1
26,5,61,1
26,7,57,1
26,8,6,1
26,11,69,1
26,15,10,1
26,18,61,1
26,19,60,1
26,22,67,1
26,23,45,1
26,23,49,1
26,29,21,1
26,29,46,1
26,30,67,1
26,31,13,1
26,32,36,1
26,33,30,1
26,35,37,1
26,35,41,1
26,41,16,1
26,42,63,1
26,44,8,1
26,46,37,1
26,50,45,1
26,55,44,1
26,56,29,1
26,56,65,1
26,57,19,1
26,59,7,1
26,65,63,1
27,1,2,1
27,2,28,1
27,4,34,1
27,8,69,1
27,9,23,1
27,12,36,1
27,14,28,1
27,16,6,1
27,16,14,1
27,17,21,1
27,19,8,1
27,19,61,1
27,32,57,1
27,35,9,1
27,38,63,1
27,40,15,1
27,46,16,1
27,52,33,1
27,53,11,1
27,58,35,1
27,58,52,1
27,64,45,1
27,65,48,1
27,65,63,1
27,68,36,1
27,68,69,1
28,5,22,1
28,5,34,1
28,6,34,1
28,11,51,1
28,15,49,1
28,19,47,1
28,21,2,1
28,21,61,1
28,26,16,1
28,29,4,1
28,29,24,1
28,36,11,1
28,37,15,1
28,38,1,1
28,40,5,1
28,40,42,1
28,43,35,1
28,45,29,1
28,46,1,1
28,46,39,1
28,48,5,1
28,53,52,1
28,54,37,1
28,58,41,1
28,59,16,1
28,59,54,1
28,62,26,1
28,62,36,1
28,64,60,1
28,67,56,1
29,3,11,1
29,5,45,1
29,9,11,1
29,11,6,1
29,15,36,1
29,15,52,1
29,19,45,1
29,21,8,1
29,25,30,1
29,26,31,1
29,30,4,1
29,32,40,1
29,33,47,1
29,35,7,1
29,36,62,1
29,37,24,1
29,39,67,1
29,40,16,1
29,41,10,1
29,42,62,1
29,44,51,1
29,45,25,1
29,45,49,1
29,48,43,1
29,51,13,1
29,53,17,1
29,56,24,1
29,60,1,1
29,60,35,1
29,61,32,1
29,63,55,1
30,1,62,1
30,4,18,1
30,8,32,1
30,9,43,1
30,10,65,1
30,12,23,1
30,15,10,1
30,21,65,1
30,23,47,1
30,24,55,1
30,27,24,1
30,28,24,1
30,32,49,1
30,32,59,1
30,41,12,1
30,46,26,1
30,49,64,1
30,54,35,1
30,56,54,1
30,57,16,1
30,58,12,1
30,58,49,1
30,59,67,1
30,61,24,1
30,63,48,1
30,65,43,1
30,66,4,1
30,68,65,1
31,5,15,1
31,8,66,1
31,9,61,1
31,10,22,1
31,13,3,1
31,13,54,1
31,17,33,1
31,19,61,1
31,22,60,1
31,25,21,1
31,26,48,1
31,27,67,1
31,28,41,1
31,30,39,1
31,32,6,1
31,32,52,1
31,40,44,1
31,41,3,1
31,41,11,1
31,43,27,1
31,45,3,1
31,47,5,1
31,50,26,1
31,58,51,1
31,58,57,1
31,60,34,1
31,64,7,1
31,68,54,1
32,3,54,1
32,6,65,1
32,10,3,1
32,10,23,1
32,10,42,1
32,12,4,1
32,14,50,1
32,15,59,1
32,17,11,1
32,17,58,1
32,18,2,1
32,19,24,1
32,21,29,1
32,22,11,1
32,23,12,1
32,23,37,1
32,24,38,1
32,25,12,1
32,26,35,1
32,26,36,1
32,31,17,1
32,35,30,1
32,37,33,1
32,38,66,1
