choice2,choice4,count
17,33,4
19,57,4
9,11,4
35,67,4
3,33,3
12,43,3
9,56,3
35,22,3
5,51,3
30,69,3
16,1,3
5,6,3
18,34,3
7,44,3
42,55,3
34,1,3
5,17,3
12,62,3
25,52,3
11,40,3
12,36,3
4,57,3
13,4,3
22,17,3
32,22,3
11,22,3
31,22,3
28,2,3
35,40,3
18,64,3
38,25,3
38,42,3
44,8,3
44,15,3
45,60,3
46,28,3
47,17,3
61,26,3
56,49,3
57,55,3
61,4,3
61,9,3
61,28,3
62,63,3
67,7,3
67,69,3
1,16,3
19,25,2
8,29,2
13,5,2
13,7,2
16,39,2
2,13,2
28,37,2
8,39,2
13,16,2
2,27,2
8,42,2
8,45,2
16,50,2
2,37,2
19,34,2
8,52,2
31,62,2
32,52,2
31,67,2
24,14,2
24,23,2
8,68,2
13,30,2
9,1,2
9,3,2
9,8,2
32,8,2
3,32,2
13,35,2
9,18,2
24,27,2
3,49,2
13,37,2
19,55,2
31,37,2
9,30,2
26,16,2
24,34,2
13,50,2
9,39,2
20,3,2
13,52,2
22,32,2
4,19,2
30,48,2
4,22,2
4,23,2
28,60,2
4,32,2
28,65,2
4,34,2
32,40,2
14,12,2
32,63,2
26,33,2
22,56,2
27,50,2
33,8,2
20,34,2
24,52,2
22,68,2
10,21,2
32,60,2
33,5,2
26,54,2
5,2,2
20,55,2
5,9,2
14,56,2
10,33,2
10,35,2
10,43,2
14,57,2
29,66,2
20,58,2
25,5,2
14,65,2
14,69,2
18,4,2
15,4,2
18,12,2
29,68,2
15,13,2
29,69,2
23,14,2
15,19,2
11,27,2
23,27,2
21,15,2
6,44,2
11,39,2
25,26,2
23,35,2
21,25,2
6,64,2
21,26,2
23,37,2
7,2,2
23,42,2
28,11,2
28,15,2
31,9,2
25,51,2
15,68,2
18,59,2
21,57,2
7,29,2
16,9,2
7,38,2
16,14,2
7,45,2
31,53,2
7,47,2
34,4,2
34,21,2
34,63,2
35,14,2
35,18,2
2,55,2
35,29,2
35,34,2
7,49,2
35,62,2
19,8,2
36,13,2
36,45,2
36,46,2
36,59,2
37,16,2
37,26,2
37,29,2
37,45,2
37,54,2
38,7,2
38,15,2
38,24,2
12,42,2
38,26,2
7,63,2
38,52,2
38,53,2
38,54,2
38,55,2
38,57,2
40,5,2
40,6,2
40,12,2
40,36,2
40,37,2
40,55,2
40,57,2
40,59,2
40,63,2
40,66,2
40,69,2
41,18,2
41,29,2
42,22,2
42,40,2
25,24,2
43,17,2
43,24,2
43,65,2
43,68,2
19,9,2
19,11,2
44,26,2
45,3,2
45,24,2
45,56,2
69,36,2
46,12,2
31,13,2
46,58,2
46,60,2
47,6,2
47,12,2
32,23,2
47,20,2
47,23,2
47,69,2
48,41,2
48,53,2
48,64,2
48,67,2
49,11,2
49,14,2
49,20,2
49,40,2
49,53,2
50,11,2
50,24,2
50,25,2
50,34,2
50,43,2
50,54,2
1,2,2
51,63,2
52,30,2
52,42,2
52,44,2
52,60,2
69,51,2
53,4,2
53,14,2
53,19,2
53,34,2
54,10,2
54,24,2
54,46,2
54,50,2
54,52,2
54,59,2
55,19,2
55,24,2
55,28,2
55,32,2
55,44,2
56,47,2
69,52,2
56,52,2
56,63,2
57,17,2
57,52,2
19,16,2
58,15,2
58,18,2
58,19,2
58,37,2
59,3,2
59,14,2
59,21,2
59,33,2
59,62,2
60,13,2
60,15,2
60,19,2
60,26,2
60,34,2
60,41,2
60,43,2
69,61,2
69,64,2
53,1,2
8,6,2
61,30,2
62,48,2
62,50,2
62,53,2
16,30,2
62,67,2
63,1,2
63,35,2
63,55,2
64,2,2
64,8,2
64,65,2
64,68,2
65,6,2
65,13,2
65,14,2
65,52,2
65,54,2
65,55,2
65,68,2
65,69,2
66,2,2
66,18,2
66,40,2
66,47,2
66,67,2
19,18,2
67,21,2
67,42,2
67,45,2
67,52,2
21,63,2
68,10,2
68,13,2
68,18,2
68,25,2
1,60,2
1,24,2
68,56,2
68,67,2
9,68,1
9,69,1
10,1,1
10,2,1
10,6,1
10,7,1
10,11,1
10,12,1
10,13,1
10,18,1
10,22,1
10,23,1
10,24,1
10,26,1
10,31,1
10,45,1
10,53,1
10,60,1
10,62,1
10,64,1
10,65,1
10,66,1
10,67,1
11,3,1
11,5,1
11,8,1
11,16,1
11,18,1
11,19,1
11,21,1
11,23,1
11,31,1
11,32,1
11,37,1
11,38,1
11,46,1
11,47,1
11,49,1
11,50,1
11,51,1
11,52,1
11,53,1
11,55,1
11,59,1
11,60,1
11,62,1
11,64,1
12,17,1
12,19,1
12,20,1
12,21,1
12,24,1
12,26,1
12,31,1
12,39,1
12,41,1
12,44,1
12,46,1
12,48,1
12,51,1
12,56,1
12,61,1
12,68,1
13,1,1
13,3,1
13,12,1
13,14,1
13,15,1
13,19,1
13,20,1
13,21,1
13,22,1
13,24,1
13,28,1
13,29,1
13,32,1
13,33,1
13,36,1
13,42,1
13,43,1
13,45,1
13,48,1
13,49,1
13,51,1
13,58,1
13,59,1
13,61,1
13,62,1
13,69,1
14,11,1
14,17,1
14,20,1
14,32,1
14,36,1
14,37,1
14,39,1
14,42,1
14,43,1
14,48,1
14,50,1
14,51,1
14,55,1
14,58,1
14,60,1
14,64,1
15,1,1
15,3,1
15,5,1
15,12,1
15,17,1
15,18,1
15,27,1
15,28,1
15,29,1
15,34,1
15,45,1
15,46,1
15,48,1
15,50,1
15,54,1
15,58,1
15,59,1
15,60,1
15,61,1
15,62,1
15,64,1
15,66,1
15,69,1
16,2,1
16,6,1
16,10,1
16,17,1
16,18,1
16,19,1
16,21,1
16,22,1
16,24,1
16,25,1
16,31,1
16,32,1
16,33,1
16,48,1
16,49,1
16,51,1
16,57,1
16,58,1
16,59,1
16,66,1
16,67,1
17,1,1
17,6,1
17,7,1
17,8,1
17,11,1
17,13,1
17,14,1
17,15,1
17,18,1
17,25,1
17,28,1
17,36,1
17,39,1
17,42,1
17,43,1
17,44,1
17,47,1
17,52,1
17,55,1
17,56,1
17,57,1
17,60,1
17,61,1
17,62,1
17,64,1
17,65,1
17,67,1
17,68,1
18,2,1
18,3,1
18,15,1
18,23,1
18,25,1
18,26,1
18,27,1
18,30,1
18,42,1
18,43,1
18,45,1
18,46,1
18,49,1
18,50,1
18,51,1
18,52,1
18,54,1
18,55,1
18,56,1
18,58,1
18,60,1
18,61,1
18,66,1
19,14,1
19,15,1
19,22,1
19,29,1
19,33,1
19,35,1
19,37,1
19,38,1
19,41,1
19,42,1
19,44,1
19,49,1
19,53,1
19,56,1
19,60,1
19,66,1
20,5,1
20,8,1
20,12,1
20,16,1
20,17,1
20,21,1
20,22,1
20,25,1
20,30,1
20,32,1
20,35,1
20,38,1
20,41,1
20,50,1
20,52,1
20,56,1
20,62,1
21,1,1
21,2,1
21,7,1
21,10,1
21,11,1
21,13,1
21,14,1
21,18,1
21,22,1
21,24,1
21,27,1
21,29,1
21,36,1
21,43,1
21,45,1
21,47,1
21,58,1
21,59,1
21,60,1
21,62,1
21,65,1
21,66,1
21,69,1
22,2,1
22,4,1
22,5,1
22,8,1
22,19,1
22,20,1
22,25,1
22,26,1
22,29,1
22,36,1
22,37,1
22,39,1
22,42,1
22,49,1
22,55,1
22,61,1
22,66,1
22,67,1
22,69,1
23,1,1
23,2,1
23,4,1
23,5,1
23,9,1
23,12,1
23,13,1
23,21,1
23,22,1
23,28,1
23,32,1
23,44,1
23,45,1
23,55,1
23,60,1
23,63,1
23,66,1
23,68,1
23,69,1
24,3,1
24,6,1
24,7,1
24,11,1
24,13,1
24,25,1
24,28,1
24,31,1
24,36,1
24,38,1
24,42,1
24,44,1
24,45,1
24,47,1
24,48,1
24,50,1
24,60,1
24,64,1
24,68,1
25,2,1
25,10,1
25,13,1
25,22,1
25,23,1
25,29,1
25,43,1
25,47,1
25,49,1
25,53,1
25,54,1
25,56,1
25,59,1
25,69,1
26,2,1
26,3,1
26,5,1
26,7,1
26,14,1
26,17,1
26,19,1
26,21,1
26,23,1
26,25,1
26,34,1
26,37,1
26,39,1
26,43,1
26,57,1
26,58,1
26,59,1
26,61,1
26,67,1
27,2,1
27,3,1
27,5,1
27,7,1
27,10,1
27,12,1
27,14,1
27,18,1
27,19,1
