Number 1,Number 3,count
4,2,8
6,8,7
6,7,7
7,1,7
4,3,7
3,3,7
9,1,6
7,7,6
0,1,6
4,4,6
7,0,6
3,2,6
2,5,6
0,0,6
1,1,6
8,3,5
6,5,5
8,8,5
1,3,5
9,5,5
5,3,5
0,4,4
7,9,4
0,8,4
0,5,4
7,4,4
8,2,4
5,7,4
5,8,4
6,1,4
0,3,4
6,4,4
3,6,4
4,1,4
0,9,4
2,7,4
9,4,4
2,3,4
3,0,4
2,9,4
1,2,4
2,6,4
6,3,3
7,3,3
5,4,3
8,1,3
5,1,3
8,6,3
2,0,3
4,8,3
4,7,3
7,8,3
0,2,3
3,9,3
8,0,3
2,1,3
9,0,2
8,9,2
7,5,2
7,2,2
8,7,2
9,7,2
8,5,2
9,2,2
4,9,2
3,8,2
1,0,2
1,8,2
1,4,2
6,2,2
3,1,2
3,4,2
3,5,2
1,7,2
0,7,2
5,0,2
5,2,2
5,5,2
1,5,1
9,6,1
9,3,1
0,6,1
9,8,1
6,9,1
2,8,1
1,9,1
2,4,1
3,7,1
4,0,1
4,5,1
5,9,1
6,0,1
9,9,1
